JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Job_url
(2021 Summer Intern) Associate Developer,IBM,台北市,剛才發佈,2021-03-10,"Introduction As an Application Developer, you will lead IBM... future by translating system...", ,https://tw.indeed.com/rc/clk?jk=11774cb976ad167e&fccid=de71a49b535e21cb&vjs=3
(2021 Summer Intern) Associate Data Scientist,IBM,台北市,剛才發佈,2021-03-10,"Introduction As a Data Scientist at IBM, you will help transform our clients’ data into tangible...", ,https://tw.indeed.com/rc/clk?jk=d3e73599a21d8baf&fccid=de71a49b535e21cb&vjs=3
(2021 Summer Intern) Associate Consultant,IBM,台北市,剛才發佈,2021-03-10,"positioning (e.g., RPA, Blockchain, 
Internet of Things) Identify and analyze opportunities...", ,https://tw.indeed.com/rc/clk?jk=f033eda2d7504d7e&fccid=de71a49b535e21cb&vjs=3
(2021 Summer Intern) Associate IT Specialist – BA/SA,IBM,台北市,剛才發佈,2021-03-10,"Introduction At IBM, we know that transformation drives change... our DNA to continuously...", ,https://tw.indeed.com/rc/clk?jk=c3057d2be19067e9&fccid=de71a49b535e21cb&vjs=3
(2021 Summer Intern) Associate Package Consultant-ERP&SCM,IBM,台北市,剛才發佈,2021-03-10,"Introduction As a Package Consultant at IBM, get ready to tackle numerous mission-critical company...", ,https://tw.indeed.com/rc/clk?jk=e099815993507296&fccid=de71a49b535e21cb&vjs=3
2021 2021 IC Purchasing Summer Intern,Dell Technologies,台北市,1天前,2021-03-10,"Join us as an IC Purchasing 
Intern on our Purchasing team... Purchasing 
Intern, you will plan...", ,https://tw.indeed.com/rc/clk?jk=f9b072a17d8ff754&fccid=dd09fe3b43125016&vjs=3
DFT/CAD Intern - Summer 2021,NVIDIA,台北市,1天前,2021-03-10,"We are looking for 
Interns in Taiwan, Taipei or Hsinchu office. NVIDIA... world leader...", ,https://tw.indeed.com/rc/clk?jk=bbfec47dbd64b515&fccid=c267f29f0f85e8b8&vjs=3
2021 APAC Summer Internship - Wealth Management,BNP Paribas,台北市,9天前,2021-03-10,"Markets and 
International... bnpparibas... APAC 
Summer
Internship Program is a comprehensive...", ,https://tw.indeed.com/rc/clk?jk=3d099f2a170ec5a2&fccid=1392500f835bba92&vjs=3
(2021 Summer Intern) Package Consultant – CRM & Marketing,IBM,台北市,剛才發佈,2021-03-10,"Introduction As a Package Consultant at IBM, get ready to tackle numerous mission-critical company...", ,https://tw.indeed.com/rc/clk?jk=04728bef2429bfef&fccid=de71a49b535e21cb&vjs=3
2021 HP Taiwan Summer Intern 惠普實習星,HP,台北市,13天前,2021-03-10,"3/7熱烈報名中，報名表單連結在instagram profile簡介 https... instagram.com/hptaiwan
intern/ 快點手刀填寫報名吧 #LI-POST", ,https://tw.indeed.com/rc/clk?jk=f7c084cff6e32024&fccid=1b866506aec22461&vjs=3
"Student Training in Engineering Program (STEP) Intern, 2021",Google,台北市,超過 30 天前,2021-03-10,"study... professional 
internship. Google aims to inspire... through your 
summer experience...", ,https://tw.indeed.com/rc/clk?jk=1eab0edf77b6d59e&fccid=a5b4499d9e91a5c6&vjs=3
"Data Center Technician Intern, Summer 2021",Google,彰化縣,超過 30 天前,2021-03-10,"available to 
intern... minimum... first Data Center 
Intern program to APAC this 
summer... program...", ,https://tw.indeed.com/rc/clk?jk=0da80cfae5267cf9&fccid=a5b4499d9e91a5c6&vjs=3
"Software Engineering Intern, Summer 2021",Google,台北市,超過 30 天前,2021-03-10,"after the completion... 
internship. Experience with Unix/Linux... Engineering 
Interns at Google...", ,https://tw.indeed.com/rc/clk?jk=1d86d1dc916cc6aa&fccid=a5b4499d9e91a5c6&vjs=3
2021 Summer Intern - Search and Ads MLR(AI)/Backend/Front-end,Verizon Media,台北市,29天前,2021-03-10,"Search and Ads 
Intern, you... just taking a 
summer job; you... exclusive 
summer
internship...", ,https://tw.indeed.com/rc/clk?jk=8e9848362ff7cf6c&fccid=a44f527c6aea8c1a&vjs=3
2021 Product Marketing Summer Intern,Dell Technologies,台北市,11天前,2021-03-10,"Marketing 
Intern Our Product... us as a Product Marketing 
Intern on our Product Marketing team...", ,https://tw.indeed.com/rc/clk?jk=b7977d926dbb2b72&fccid=dd09fe3b43125016&vjs=3
"Physical Design Intern, VLSI - Summer 2021",NVIDIA,新竹市,6天前,2021-03-10,"looking for VLSI Physical Design 
Summer
Intern in Hsinchu, Taiwan office for 
Summer 2021. We utilize...", ,https://tw.indeed.com/rc/clk?jk=86c8eebd9e1a0225&fccid=c267f29f0f85e8b8&vjs=3
2021 Summer Intern - Research Engineer Intern,Verizon Media,台北市,20天前,2021-03-10,"U... 
international markets... we are looking for outstanding 
intern... great technical skills...", ,https://tw.indeed.com/rc/clk?jk=cbc6df756bac27f9&fccid=a44f527c6aea8c1a&vjs=3
2021 Software Engineer Summer Intern,Dell Technologies,台北市,5天前,2021-03-10,"Job Family: Engineering 
Internships Software-Engineer Job ID: R071913", ,https://tw.indeed.com/rc/clk?jk=1f02b3a02f60e347&fccid=dd09fe3b43125016&vjs=3
"Hardware Engineering Intern, Spring or Summer 2021",Google,台北市,超過 30 天前,2021-03-10,"Summer
Internship program... completion... 
internship. Tech 
internships or work experience...", ,https://tw.indeed.com/rc/clk?jk=7d47e40c079523b6&fccid=a5b4499d9e91a5c6&vjs=3
2021 Product Marketing Summer Intern,Dell Technologies,台北市,11天前,2021-03-10,"Marketing 
Intern Our Product... us as a Product Marketing 
Intern on our Product Marketing team...", ,https://tw.indeed.com/rc/clk?jk=b7977d926dbb2b72&fccid=dd09fe3b43125016&vjs=3
"Software Engineering Intern, Summer 2021",Google,台北市,超過 30 天前,2021-03-10,"after the completion... 
internship. Experience with Unix/Linux... Engineering 
Interns at Google...", ,https://tw.indeed.com/rc/clk?jk=1d86d1dc916cc6aa&fccid=a5b4499d9e91a5c6&vjs=3
Intern (Technical-Engineering),Synopsys,台灣,今天,2021-03-10,"2 months 
summer project... Job Category 
Interns/Temp Hire Type 
Intern Country Taiwan", ,https://tw.indeed.com/rc/clk?jk=dec6fad5bdad54d2&fccid=6ce9eba87609c3e9&vjs=3
2021 Server Procurement Summer Intern,Dell Technologies,台北市,6天前,2021-03-10,"2021 Server Procurement 
Intern Demand for our ground-breaking... Procurement 
Intern, you will have...", ,https://tw.indeed.com/rc/clk?jk=1da64c95b60922a7&fccid=dd09fe3b43125016&vjs=3
2021 Summer News Internship â€“ Taipei,Bloomberg,台北市,超過 30 天前,2021-03-10,"you come in. We’re looking for 
interns who are passionate about... an 
intern, you will have...", ,https://tw.indeed.com/rc/clk?jk=2094b5129132f1f3&fccid=f770da67b3b51c62&vjs=3
2021 Summer Intern - Frontend Engineer,Verizon Media,台北市,29天前,2021-03-10,"create the next generation of 
Internet experiences for consumers... apply on our 
internal career site.", ,https://tw.indeed.com/rc/clk?jk=801799b938cb53e9&fccid=a44f527c6aea8c1a&vjs=3
2021 Summer Intern - Mastercard Advisors,Mastercard,台灣,超過 30 天前,2021-03-10,"2021 
Summer
Intern - Mastercard... Consultant 
Intern: As an Associate Consultant 
Intern, you...", ,https://tw.indeed.com/rc/clk?jk=7e03dd16df6a40e9&fccid=10b5c722d846df43&vjs=3
QA Engineering Intern (Summer & Winter),Umbo CV,台北市 信義區,5天前,2021-03-10,"work with highly talented team members in an 
international atmosphere Note... remote...", ,https://tw.indeed.com/rc/clk?jk=30cba0a0cfbe900a&fccid=36a4e6a08c66b68f&vjs=3
2021 Mechanical Engineer Summer Intern,Dell Technologies,台北市,14天前,2021-03-10,"Engineer
Intern Our Mechanical... us as a Mechanical Engineer 
Intern on our MechanicalEngineering...", ,https://tw.indeed.com/rc/clk?jk=2efa73fd0f38ce62&fccid=dd09fe3b43125016&vjs=3
2021 Electrical Engineer Summer Intern,Dell Technologies,台北市,11天前,2021-03-10,"Engineer 
Intern Dell provides... us as a Electrical Engineer
Intern on our ElectricalEngineering...", ,https://tw.indeed.com/rc/clk?jk=9bb1bf408c24db3b&fccid=dd09fe3b43125016&vjs=3
Sales Interm,Hewlett Packard Enterprise,台北市,2天前,2021-03-10,"College 
Interns are university... 
summer breaks between university semesters. College 
Intern is only...", ,https://tw.indeed.com/rc/clk?jk=87bfacaf3489d1a6&fccid=216eb700022de6f6&vjs=3
Acoustic Engineer Intern,Ring of Security Asia Ltd TWN,台北市,超過 30 天前,2021-03-10,"Engineer 
intern works closely... May travel domestically and 
internationally to supplier sites...", ,https://tw.indeed.com/rc/clk?jk=64d8a8ad28831096&fccid=fe2d21eef233e94a&vjs=3
2021 Product Operations Engineer Summer Intern,Dell Technologies,台北市,7天前,2021-03-10,"Engineer 
Intern When Dell... Product Operations Engineer 
Intern on our ISGProduct Operations...", ,https://tw.indeed.com/rc/clk?jk=db3098bfeef75c90&fccid=dd09fe3b43125016&vjs=3
"Finance, Accounting & Operations Intern",Texas Instruments,台北市,超過 30 天前,2021-03-10,"three-month 
summer
internship... July through December. 
Summer
internship opportunities are also...", ,https://tw.indeed.com/rc/clk?jk=c4c438fcbe926420&fccid=d59215ef88e83b80&vjs=3
Software Graphics Intern,Intel,台北市,6天前,2021-03-10,"job. Job assignments are usually... 
summer... short periods during breaks from school...", ,https://tw.indeed.com/rc/clk?jk=f6cc7703a56ca1b7&fccid=f1374be6a45f4b8a&vjs=3
Datacenter Technical Sales Specialist Intern,Intel,台灣,超過 30 天前,2021-03-10,"join our 
internship program... lead business analysis across 
internal and external stakeholders...", ,https://tw.indeed.com/rc/clk?jk=44d80a0134d0526b&fccid=f1374be6a45f4b8a&vjs=3
Design Quality Assurance Engineer Intern,Ring of Security Asia Ltd TWN,台北市,超過 30 天前,2021-03-10,"DQA Engineer 
intern works closely... May travel domestically and 
internationally to supplier sites...", ,https://tw.indeed.com/rc/clk?jk=cf2f5d6e54640825&fccid=fe2d21eef233e94a&vjs=3
Intern - Server System Eng.,AMD,台灣,超過 30 天前,2021-03-10,"Co-Op/ 
Intern AMD Data Center Server team is looking... dynamic and self-motivate 
Intern focusing...", ,https://tw.indeed.com/rc/clk?jk=97a1316e130b8397&fccid=b45c4b5a9c9a7448&vjs=3
Intern - Server System Eng.,"Advanced Micro Devices, Inc.",台北市,超過 30 天前,2021-03-10,"Op/ 
Intern The Role: AMD Data Center Server team is looking... dynamic and self-motivate 
Intern...", ,https://tw.indeed.com/rc/clk?jk=98317f32eb5a4920&fccid=b45c4b5a9c9a7448&vjs=3
Electrical Engineer Intern,Ring of Security Asia Ltd TWN,台北市,超過 30 天前,2021-03-10,"Engineer 
intern works closely... May travel domestically and 
internationally to supplier sites...", ,https://tw.indeed.com/rc/clk?jk=931a9e66e7c94891&fccid=fe2d21eef233e94a&vjs=3
Hardware Engineer 1-Year Intern,Hewlett Packard Enterprise,台北市,16天前,2021-03-10,"College 
Interns are university... 
summer breaks between university semesters. College 
Intern is only...", ,https://tw.indeed.com/rc/clk?jk=efc55f7f71e65251&fccid=216eb700022de6f6&vjs=3
